               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10911,            0.026305,            0.045476,          0.00018309,            0.046816,           0.0027469,          0.00044509,            0.090905,            0.013375,            0.034422,            0.070219,            0.003309,            0.003309
                   1,               0.112,            0.026711,            0.046825,          0.00027582,            0.048689,          0.00080893,          0.00018001,            0.090065,            0.013898,            0.033926,            0.040212,           0.0066358,           0.0066358
                   2,             0.10887,            0.026429,            0.046826,          7.4696e-05,            0.020599,          0.00022249,          4.4185e-05,             0.09123,            0.013412,            0.034243,            0.010199,           0.0099559,           0.0099559
                   3,              0.1094,            0.026395,            0.050107,          0.00085034,           0.0093633,           0.0019407,          0.00023953,            0.091926,            0.013443,               0.034,           0.0099703,           0.0099703,           0.0099703
                   4,             0.11033,            0.026411,            0.051423,                   0,                   0,                   0,                   0,            0.091978,             0.01349,             0.03494,           0.0099703,           0.0099703,           0.0099703
                   5,             0.11017,            0.026068,            0.048517,                   0,                   0,                   0,                   0,            0.092004,            0.013479,             0.03495,           0.0099604,           0.0099604,           0.0099604
                   6,             0.11233,            0.026286,             0.04984,                   0,                   0,                   0,                   0,            0.091788,            0.013497,            0.035577,           0.0099505,           0.0099505,           0.0099505
                   7,              0.1121,            0.026493,            0.049724,                   0,                   0,                   0,                   0,            0.091745,            0.013513,            0.035423,           0.0099406,           0.0099406,           0.0099406
                   8,             0.10883,            0.026426,            0.045657,                   0,                   0,                   0,                   0,            0.091505,             0.01349,            0.034936,           0.0099307,           0.0099307,           0.0099307
                   9,             0.10974,             0.02629,            0.046109,                   0,                   0,                   0,                   0,            0.091495,            0.013366,            0.034786,           0.0099208,           0.0099208,           0.0099208
                  10,             0.11021,            0.026435,             0.04838,                   0,                   0,                   0,                   0,             0.09176,             0.01344,            0.034764,           0.0099109,           0.0099109,           0.0099109
                  11,             0.11239,            0.026794,            0.046491,                   0,                   0,                   0,                   0,            0.091478,            0.013491,            0.034498,            0.009901,            0.009901,            0.009901
                  12,             0.11112,            0.026509,             0.04881,                   0,                   0,                   0,                   0,            0.091549,            0.013517,            0.034979,           0.0098911,           0.0098911,           0.0098911
                  13,              0.1111,            0.026467,            0.052412,                   0,                   0,                   0,                   0,            0.092261,             0.01356,            0.035921,           0.0098812,           0.0098812,           0.0098812
                  14,             0.11088,            0.026103,             0.04847,                   0,                   0,                   0,                   0,            0.091835,            0.013439,            0.035339,           0.0098713,           0.0098713,           0.0098713
                  15,             0.11113,            0.026387,            0.053472,                   0,                   0,                   0,                   0,            0.091812,            0.013415,            0.035603,           0.0098614,           0.0098614,           0.0098614
                  16,             0.11149,            0.026116,            0.047627,                   0,                   0,                   0,                   0,             0.09175,            0.013458,            0.035845,           0.0098515,           0.0098515,           0.0098515
                  17,             0.11145,            0.026311,            0.050077,                   0,                   0,                   0,                   0,            0.091696,            0.013538,            0.036081,           0.0098416,           0.0098416,           0.0098416
                  18,             0.11235,            0.026122,            0.050309,                   0,                   0,                   0,                   0,            0.091894,             0.01347,            0.035288,           0.0098317,           0.0098317,           0.0098317
                  19,             0.11168,            0.026544,            0.047377,                   0,                   0,                   0,                   0,            0.091903,            0.013409,             0.03542,           0.0098218,           0.0098218,           0.0098218
                  20,             0.11043,            0.026285,            0.046643,                   0,                   0,                   0,                   0,            0.091734,            0.013444,            0.035451,           0.0098119,           0.0098119,           0.0098119
                  21,             0.10923,            0.026242,            0.050082,                   0,                   0,                   0,                   0,            0.091672,            0.013361,            0.035215,            0.009802,            0.009802,            0.009802
                  22,             0.11069,             0.02647,              0.0464,                   0,                   0,                   0,                   0,            0.091668,            0.013406,            0.034942,           0.0097921,           0.0097921,           0.0097921
                  23,             0.11055,            0.026716,            0.046616,                   0,                   0,                   0,                   0,             0.09155,            0.013505,            0.035354,           0.0097822,           0.0097822,           0.0097822
                  24,             0.10959,            0.026465,             0.04578,                   0,                   0,                   0,                   0,            0.091423,             0.01349,            0.034793,           0.0097723,           0.0097723,           0.0097723
                  25,             0.10924,            0.026584,            0.045659,                   0,                   0,                   0,                   0,            0.091292,            0.013554,            0.035041,           0.0097624,           0.0097624,           0.0097624
                  26,             0.10853,            0.026835,            0.046011,                   0,                   0,                   0,                   0,            0.091211,            0.013515,            0.034522,           0.0097525,           0.0097525,           0.0097525
                  27,             0.11098,            0.026859,            0.046602,                   0,                   0,                   0,                   0,            0.091294,            0.013641,            0.035068,           0.0097426,           0.0097426,           0.0097426
                  28,              0.1085,            0.026811,            0.045639,                   0,                   0,                   0,                   0,            0.091045,            0.013786,            0.034712,           0.0097327,           0.0097327,           0.0097327
                  29,             0.11012,            0.026581,            0.045674,                   0,                   0,                   0,                   0,            0.091308,            0.013546,            0.034498,           0.0097228,           0.0097228,           0.0097228
                  30,             0.11102,            0.026822,            0.046615,                   0,                   0,                   0,                   0,            0.091454,            0.013631,            0.034344,           0.0097129,           0.0097129,           0.0097129
                  31,             0.11145,            0.027055,            0.047109,                   0,                   0,                   0,                   0,            0.091387,            0.013583,            0.034691,            0.009703,            0.009703,            0.009703
                  32,             0.10841,            0.026663,            0.045796,                   0,                   0,                   0,                   0,            0.091456,            0.013523,            0.034267,           0.0096931,           0.0096931,           0.0096931
                  33,             0.11001,            0.026592,            0.046137,                   0,                   0,                   0,                   0,            0.091585,            0.013468,            0.034232,           0.0096832,           0.0096832,           0.0096832
                  34,             0.10776,             0.02674,            0.044748,                   0,                   0,                   0,                   0,            0.091579,            0.013572,            0.034489,           0.0096733,           0.0096733,           0.0096733
                  35,             0.11091,            0.026704,            0.046595,                   0,                   0,                   0,                   0,            0.091162,            0.013461,            0.034618,           0.0096634,           0.0096634,           0.0096634
                  36,             0.10798,            0.026967,             0.04452,          5.3462e-05,           0.0037453,           2.777e-05,           5.554e-06,            0.091141,            0.013528,            0.033894,           0.0096535,           0.0096535,           0.0096535
                  37,             0.10804,            0.027023,            0.045098,                   0,                   0,                   0,                   0,            0.091317,            0.013613,            0.034291,           0.0096436,           0.0096436,           0.0096436
