               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,             0.11065,            0.026572,            0.046087,                   0,                   0,                   0,                   0,            0.091092,             0.01309,             0.03391,             0.00604,             0.00604,             0.00604
                  42,             0.10848,            0.026797,            0.044963,                   0,                   0,                   0,                   0,            0.091275,            0.013105,            0.034384,            0.005941,            0.005941,            0.005941
                  43,             0.11044,            0.026682,            0.045657,                   0,                   0,                   0,                   0,             0.09151,            0.012873,            0.033937,            0.005842,            0.005842,            0.005842
                  44,             0.10971,            0.026835,            0.046167,           2.437e-05,           0.0037453,          1.5078e-05,          1.5078e-06,            0.091494,            0.013172,            0.034255,            0.005743,            0.005743,            0.005743
                  45,             0.10863,            0.026544,            0.046112,          3.1258e-05,           0.0018727,          3.4275e-05,          3.4275e-06,            0.091895,            0.013046,            0.034278,            0.005644,            0.005644,            0.005644
                  46,             0.10858,            0.026539,            0.045799,                   0,                   0,                   0,                   0,             0.09149,            0.013173,            0.034688,            0.005545,            0.005545,            0.005545
                  47,             0.10984,            0.026674,            0.046101,          3.1833e-05,            0.005618,          2.0227e-05,          4.2264e-06,            0.091265,            0.013004,            0.034008,            0.005446,            0.005446,            0.005446
                  48,             0.11131,            0.026409,            0.047833,            5.53e-05,            0.013109,          3.4388e-05,          6.5555e-06,            0.091406,             0.01327,            0.033856,            0.005347,            0.005347,            0.005347
                  49,             0.10835,            0.026541,            0.045604,          4.4474e-05,           0.0037453,          2.4557e-05,           5.873e-06,            0.091285,            0.013288,            0.034285,            0.005248,            0.005248,            0.005248
                  50,             0.10945,            0.026468,            0.045819,                   0,                   0,                   0,                   0,            0.091048,            0.013218,             0.03424,            0.005149,            0.005149,            0.005149
                  51,             0.10873,            0.026899,            0.045511,                   0,                   0,                   0,                   0,            0.091392,            0.013567,            0.034434,             0.00505,             0.00505,             0.00505
                  52,             0.11037,            0.026967,            0.045732,                   0,                   0,                   0,                   0,            0.090951,            0.013417,            0.033793,            0.004951,            0.004951,            0.004951
                  53,             0.11001,            0.026525,            0.046041,          2.6441e-05,            0.005618,          1.4292e-05,          2.8001e-06,            0.090976,             0.01358,            0.033791,            0.004852,            0.004852,            0.004852
                  54,             0.10998,            0.026591,            0.047484,                   0,                   0,                   0,                   0,             0.09168,            0.013652,            0.035394,            0.004753,            0.004753,            0.004753
                  55,             0.10825,             0.02655,            0.045708,                   0,                   0,                   0,                   0,             0.09161,            0.013362,            0.035993,            0.004654,            0.004654,            0.004654
                  56,             0.10873,            0.026595,            0.045519,                   0,                   0,                   0,                   0,            0.091351,            0.013451,            0.034507,            0.004555,            0.004555,            0.004555
                  57,             0.11022,             0.02647,            0.045589,                   0,                   0,                   0,                   0,            0.091315,            0.013392,            0.033872,            0.004456,            0.004456,            0.004456
                  58,             0.11051,            0.027104,            0.045896,          2.6025e-05,            0.005618,          1.5428e-05,          2.4464e-06,             0.09144,            0.013292,            0.033965,            0.004357,            0.004357,            0.004357
                  59,             0.11075,            0.026505,            0.046579,          4.6232e-05,           0.0018727,          2.3988e-05,          4.7976e-06,            0.091539,            0.013119,            0.033742,            0.004258,            0.004258,            0.004258
                  60,             0.10932,            0.026505,            0.046395,          3.4565e-05,           0.0093633,          2.0648e-05,          3.2228e-06,            0.090992,            0.013221,            0.033939,            0.004159,            0.004159,            0.004159
                  61,             0.10987,            0.026781,            0.045442,          3.2701e-05,           0.0074906,           1.911e-05,          2.7964e-06,            0.090728,            0.013192,             0.03417,             0.00406,             0.00406,             0.00406
                  62,             0.11028,            0.026451,            0.045538,          2.1035e-05,            0.005618,          1.2402e-05,          2.0775e-06,            0.091088,            0.013139,            0.033847,            0.003961,            0.003961,            0.003961
                  63,             0.10823,            0.026696,            0.045336,          2.9418e-05,           0.0074906,          1.7308e-05,          3.2631e-06,            0.091066,            0.013067,            0.033752,            0.003862,            0.003862,            0.003862
                  64,             0.10807,            0.026335,             0.04444,          5.0251e-05,            0.011236,          3.0865e-05,          5.3663e-06,            0.090975,            0.013185,            0.033595,            0.003763,            0.003763,            0.003763
                  65,             0.10839,            0.026637,            0.044937,          2.9393e-05,            0.005618,          1.7021e-05,          2.8808e-06,            0.090873,            0.013145,            0.033726,            0.003664,            0.003664,            0.003664
                  66,             0.10944,            0.026438,            0.045348,          4.4351e-05,            0.014981,          2.5741e-05,          5.0399e-06,             0.09089,            0.013174,            0.033974,            0.003565,            0.003565,            0.003565
                  67,             0.10769,            0.026757,            0.045857,          4.4385e-05,            0.013109,          2.6675e-05,          4.4446e-06,             0.09098,            0.013108,             0.03408,            0.003466,            0.003466,            0.003466
                  68,             0.10843,            0.026564,            0.044943,          5.2802e-05,            0.016854,          3.1074e-05,          6.3861e-06,            0.090883,            0.013125,             0.03389,            0.003367,            0.003367,            0.003367
                  69,             0.10914,            0.026488,            0.045513,          3.6046e-05,            0.011236,          2.4431e-05,           4.014e-06,            0.090906,            0.012985,            0.033949,            0.003268,            0.003268,            0.003268
                  70,             0.11002,            0.026987,            0.045992,          5.0799e-05,            0.014981,          3.0861e-05,          6.0207e-06,            0.090709,            0.013116,            0.033831,            0.003169,            0.003169,            0.003169
                  71,             0.10867,            0.026857,            0.044929,          3.7874e-05,            0.013109,          2.1514e-05,          3.3355e-06,            0.090609,            0.013098,            0.033765,             0.00307,             0.00307,             0.00307
                  72,             0.10701,            0.026539,            0.044981,            4.17e-05,            0.011236,          3.6558e-05,          5.9486e-06,            0.090725,            0.013014,            0.033907,            0.002971,            0.002971,            0.002971
                  73,             0.10792,            0.026864,            0.045189,          2.7455e-05,           0.0093633,          1.6042e-05,          3.1338e-06,            0.091606,            0.013058,            0.034236,            0.002872,            0.002872,            0.002872
                  74,             0.10936,              0.0265,            0.045507,            5.63e-05,            0.016854,          3.4576e-05,          6.3147e-06,            0.091637,            0.013096,            0.033688,            0.002773,            0.002773,            0.002773
                  75,             0.11031,            0.027041,             0.04596,          5.6842e-05,            0.016854,          3.5988e-05,          7.0202e-06,            0.091774,            0.013103,            0.033873,            0.002674,            0.002674,            0.002674
