               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11384,            0.026264,            0.047121,          0.00013111,            0.035581,          0.00055357,          0.00011846,            0.098482,            0.012935,             0.03485,            0.070435,            0.003285,            0.003285
                   1,             0.11349,            0.026676,            0.047941,                   0,                   0,                   0,                   0,             0.09934,             0.01184,            0.038601,            0.040428,           0.0066118,           0.0066118
                   2,             0.11342,             0.02636,            0.048323,                   0,                   0,                   0,                   0,            0.098725,            0.013044,            0.036231,            0.010415,            0.009932,            0.009932
                   3,             0.11327,            0.026379,            0.048128,                   0,                   0,                   0,                   0,            0.098456,            0.012934,            0.036508,           0.0099703,           0.0099703,           0.0099703
