               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037466,            0.011522,            0.010372,             0.69744,             0.67105,              0.6667,             0.25391,            0.045016,           0.0092464,            0.010387,              0.0865,              0.0015,              0.0015
                   1,            0.035142,            0.011384,           0.0093232,             0.67724,             0.64174,             0.66001,             0.25164,            0.042629,           0.0095756,           0.0099953,             0.07208,           0.0030795,           0.0030795
                   2,            0.033116,            0.011606,           0.0073281,             0.67698,             0.63441,             0.63027,             0.21807,            0.044787,           0.0096377,            0.010098,            0.057638,            0.004638,            0.004638
                   3,            0.040851,            0.011927,           0.0091088,             0.70157,             0.55041,             0.61327,             0.21221,            0.043823,           0.0095069,            0.010359,            0.043175,           0.0061753,           0.0061753
                   4,            0.046575,            0.011485,            0.010518,             0.61869,              0.5045,             0.50132,             0.16622,            0.047003,            0.010801,            0.013264,            0.028691,           0.0076914,           0.0076914
                   5,            0.040773,            0.012589,            0.011797,             0.57359,             0.58777,             0.54789,             0.18306,            0.047783,            0.010756,             0.01219,            0.014186,           0.0091865,           0.0091865
                   6,            0.038852,             0.01235,            0.010894,             0.62041,              0.5436,             0.51443,             0.18579,            0.053708,            0.009863,            0.011855,            0.009604,            0.009604,            0.009604
                   7,            0.055217,            0.012245,            0.012288,             0.55616,             0.52644,             0.48263,             0.18276,             0.05378,            0.010773,             0.01454,            0.009604,            0.009604,            0.009604
                   8,            0.042346,            0.012264,             0.01014,             0.56833,             0.53546,             0.50864,             0.18369,            0.050958,            0.010941,            0.014038,            0.009538,            0.009538,            0.009538
                   9,            0.044406,            0.012702,            0.011797,             0.68671,             0.40856,              0.4438,             0.14829,            0.053301,            0.011333,            0.014727,            0.009472,            0.009472,            0.009472
                  10,            0.044079,            0.011989,            0.010691,             0.59799,             0.44835,             0.44344,             0.12961,            0.052783,            0.010321,            0.013244,            0.009406,            0.009406,            0.009406
                  11,            0.048985,            0.012531,            0.011057,             0.59915,             0.52145,             0.49945,             0.16127,            0.049779,            0.010329,            0.014164,             0.00934,             0.00934,             0.00934
                  12,            0.046803,            0.012329,            0.014596,             0.56864,             0.55336,             0.55596,             0.20514,            0.048607,            0.010737,            0.013926,            0.009274,            0.009274,            0.009274
                  13,            0.046557,            0.012842,            0.013181,             0.53147,             0.46095,              0.4427,             0.14208,            0.050576,            0.012226,            0.015621,            0.009208,            0.009208,            0.009208
                  14,            0.044578,            0.012642,            0.011408,              0.5469,             0.48592,             0.48495,             0.17661,            0.046724,            0.012091,            0.013285,            0.009142,            0.009142,            0.009142
                  15,            0.044029,            0.012889,            0.012276,             0.58257,             0.52223,             0.48111,             0.16709,             0.05114,            0.010798,            0.013736,            0.009076,            0.009076,            0.009076
                  16,            0.039963,            0.012948,            0.010811,             0.63875,             0.51284,             0.52897,             0.17375,            0.053437,            0.010806,            0.012034,             0.00901,             0.00901,             0.00901
                  17,            0.044277,            0.012356,            0.010697,             0.70319,             0.54038,             0.56937,             0.21115,            0.051268,            0.010796,            0.013385,            0.008944,            0.008944,            0.008944
