               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092664,            0.014401,            0.039368,                   0,                   0,                   0,                   0,            0.092484,            0.013362,            0.034459,              0.0865,              0.0015,              0.0015
                   1,            0.084779,            0.015795,            0.034533,                   0,                   0,                   0,                   0,             0.09294,            0.013031,            0.036823,            0.072085,           0.0030847,           0.0030847
                   2,            0.071493,            0.015991,            0.026783,                   0,                   0,                   0,                   0,             0.09292,            0.014061,            0.037931,            0.057653,           0.0046535,           0.0046535
                   3,            0.073131,            0.016546,            0.026057,                   0,                   0,                   0,                   0,             0.09515,            0.014243,            0.043867,            0.043206,           0.0062064,           0.0062064
                   4,            0.079233,            0.016187,             0.02843,                   0,                   0,                   0,                   0,            0.095621,            0.014691,            0.048862,            0.028744,           0.0077436,           0.0077436
                   5,            0.075112,            0.016322,            0.029467,             0.84206,           0.0093633,           0.0066077,           0.0025838,            0.099334,            0.011619,             0.12465,            0.014265,           0.0092649,           0.0092649
                   6,            0.067927,            0.015944,             0.02677,                   0,                   0,                   0,                   0,             0.11336,           0.0069744,             0.50333,            0.009703,            0.009703,            0.009703
                   7,            0.085961,            0.015633,             0.02936,             0.47098,            0.060187,            0.048668,            0.012832,            0.093259,            0.014482,            0.056741,            0.009703,            0.009703,            0.009703
                   8,            0.070386,            0.016052,            0.027925,             0.48137,            0.071533,            0.063211,            0.015791,            0.082579,            0.013564,            0.027391,           0.0096535,           0.0096535,           0.0096535
                   9,              0.0728,            0.016558,            0.027223,             0.85464,            0.096693,            0.079413,            0.021963,            0.083613,            0.013567,            0.028931,            0.009604,            0.009604,            0.009604
                  10,            0.071467,            0.015485,              0.0247,             0.45633,              0.1144,            0.076845,            0.020864,            0.078136,            0.013958,            0.026272,           0.0095545,           0.0095545,           0.0095545
                  11,            0.078198,            0.016264,            0.026336,             0.51646,             0.10597,             0.10205,            0.029394,            0.074632,            0.013668,            0.025308,            0.009505,            0.009505,            0.009505
                  12,            0.074402,             0.01571,            0.029127,             0.44479,             0.10799,            0.067299,            0.016072,            0.074601,            0.013822,            0.026289,           0.0094555,           0.0094555,           0.0094555
                  13,             0.07366,             0.01593,            0.028131,             0.23689,              0.1259,            0.086195,            0.022053,            0.073817,            0.013946,             0.02675,            0.009406,            0.009406,            0.009406
                  14,            0.071202,            0.016262,            0.026141,             0.20294,             0.13302,            0.088579,            0.030419,            0.075331,            0.013662,            0.025943,           0.0093565,           0.0093565,           0.0093565
                  15,            0.068395,            0.016133,            0.026841,             0.33083,             0.14175,            0.086023,            0.028096,            0.074331,            0.015017,            0.025483,            0.009307,            0.009307,            0.009307
                  16,            0.061047,            0.016647,            0.024715,             0.24639,             0.15577,            0.041329,            0.012553,            0.084563,            0.018412,            0.033691,           0.0092575,           0.0092575,           0.0092575
                  17,            0.067775,            0.016452,            0.025086,             0.28944,              0.1448,             0.14116,            0.053083,            0.067503,            0.013755,            0.025136,            0.009208,            0.009208,            0.009208
                  18,            0.060239,             0.01629,            0.023981,             0.20969,             0.18265,             0.10741,            0.029224,            0.068125,            0.013269,            0.024411,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058867,            0.016704,            0.023777,             0.19939,             0.18759,             0.16066,            0.060518,             0.06878,            0.013322,            0.024194,            0.009109,            0.009109,            0.009109
                  20,            0.074462,            0.016036,            0.024785,             0.43984,            0.093437,              0.1075,            0.036853,             0.06983,            0.014298,              0.0249,           0.0090595,           0.0090595,           0.0090595
                  21,             0.06652,            0.015528,            0.025573,             0.67672,              0.1225,             0.13585,            0.056961,            0.076525,            0.017866,            0.025314,             0.00901,             0.00901,             0.00901
                  22,            0.059979,            0.016389,            0.022259,             0.16092,             0.15543,             0.12278,            0.041568,            0.074153,            0.019824,            0.024306,           0.0089605,           0.0089605,           0.0089605
                  23,            0.062996,             0.01626,            0.024012,             0.28167,             0.15502,             0.15028,            0.051467,            0.068306,            0.013951,            0.026133,            0.008911,            0.008911,            0.008911
                  24,            0.063752,             0.01629,            0.026134,             0.38672,             0.16224,             0.16669,            0.051109,            0.069938,             0.01475,            0.025052,           0.0088615,           0.0088615,           0.0088615
                  25,            0.061999,            0.015828,            0.022618,             0.24057,             0.21732,             0.16687,            0.056947,            0.064375,            0.013293,            0.023671,            0.008812,            0.008812,            0.008812
